epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,23095.5,0.85528,1.87533,0.60659,1.05624,0,0.83867,0.78137,0.81822,0.60566,0.81156,0.71665,0.75523,0.51149,0.74395,1.83873,0.52078,1.07425,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,24069.6,0.84601,1.85718,0.5996,1.05176,0,0.86542,0.76931,0.82057,0.60596,0.79561,0.70734,0.74185,0.51122,0.7424,1.82873,0.51556,1.07187,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,25047,0.84062,1.84462,0.59376,1.04872,0,0.8811,0.75587,0.8216,0.61508,0.82225,0.69046,0.74081,0.51344,0.73413,1.81086,0.50699,1.06467,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,26029.2,0.83362,1.83031,0.58712,1.04535,0,0.86156,0.76766,0.82727,0.61773,0.82215,0.71648,0.75625,0.51991,0.72809,1.80313,0.50118,1.06269,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,27007.7,0.82424,1.81628,0.57738,1.03979,0,0.86623,0.7685,0.82507,0.62138,0.81125,0.71097,0.74663,0.5295,0.72567,1.79489,0.49711,1.0596,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,27983.1,0.82119,1.80188,0.57395,1.03879,0,0.83749,0.77226,0.82625,0.62414,0.77919,0.71751,0.74835,0.52255,0.71744,1.77737,0.49691,1.05592,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,28959.4,0.81477,1.7931,0.56736,1.03558,0,0.84549,0.76844,0.82795,0.62804,0.79337,0.72756,0.76058,0.5316,0.71022,1.76592,0.48878,1.05286,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,29930.9,0.81035,1.7847,0.56331,1.03339,0,0.87163,0.77185,0.82822,0.63107,0.80895,0.71837,0.75197,0.53611,0.70448,1.76219,0.48499,1.04991,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,72423.7,0.80395,1.77201,0.55674,1.03049,0,0.88274,0.77023,0.83109,0.63231,0.8405,0.72381,0.76562,0.53692,0.70178,1.75568,0.48281,1.04862,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,73418.5,0.79877,1.75823,0.55181,1.02824,0,0.88964,0.76991,0.83229,0.64137,0.84778,0.72902,0.76923,0.54068,0.69787,1.74552,0.48017,1.04596,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
